AQI,PM2.5,PM10,CO,No2,So2,O3
91,49,107,28,63,0.87,97
69,43,80,14,53,0.87,50
77,49,82,17,38,0.99,90
202,65,281,9,38,0.66,83
68,36,81,11,47,0.69,55
58,40,57,11,58,0.81,27
47,27,49,14,42,0.74,74
100,59,98,19,50,0.96,112
104,48,88,19,38,0.77,151
81,59,86,11,33,0.8,110
63,34,61,10,30,0.61,92
41,27,41,12,38,1,35
68,40,63,13,37,0.88,91
67,28,56,18,48,0.59,99
67,28,60,12,35,0.55,119
81,35,76,12,30,0.69,129
50,25,50,9,48,0.67,63
29,12,16,5,39,0.68,58
53,34,50,8,26,0.82,79
56,36,55,11,27,0.78,89
93,52,90,17,54,1.05,121
105,59,98,15,38,1.06,133
88,65,92,13,56,1.35,49
49,32,41,6,50,0.93,38
38,18,28,6,57,1.01,27
61,44,66,11,53,1.28,39
89,63,98,13,47,1.13,83
74,51,86,13,44,1.08,78
108,76,103,15,62,1.15,78
69,47,70,12,64,1.07,44
56,38,49,10,46,1.12,48
56,30,60,17,32,0.8,74
53,25,58,11,46,0.67,55
47,25,45,9,43,0.94,44
72,52,72,11,54,1.05,28
82,52,88,16,60,1.01,60
62,38,71,16,53,0.77,78
83,50,105,15,68,0.87,46
85,53,100,12,62,0.92,56
54,33,58,9,39,0.79,71
87,59,109,16,62,1.09,75
111,75,128,16,57,1.07,104
102,60,114,12,51,0.74,83
43,22,41,11,35,0.79,64
71,43,69,16,32,0.92,90
56,30,50,13,34,0.61,100
63,25,55,13,37,0.68,89
44,23,36,11,44,0.82,56
61,42,71,12,51,1.11,80
102,66,112,18,60,1.15,102
66,32,37,6,36,0.75,110
70,46,74,9,45,0.8,92
66,38,73,10,56,0.7,61
49,29,49,11,52,0.72,53
63,43,60,13,36,0.87,88
82,53,96,21,51,1.07,93
123,87,152,28,84,1.46,99
112,60,104,23,54,0.91,138
68,44,64,15,39,0.84,71
119,89,114,22,65,1.14,60
158,119,169,30,122,1.45,33
70,37,87,23,81,0.92,38
110,82,121,26,55,1.14,67
146,110,119,11,48,1.15,28
127,95,126,14,66,1.29,39
41,23,24,5,28,0.69,56
43,20,38,10,22,0.6,64
45,27,43,17,32,0.75,58
80,59,79,21,60,1.02,45
119,89,101,20,45,1.01,83
121,90,84,24,54,1.24,49
116,86,105,23,46,1.02,71
94,62,86,13,47,0.82,62
71,49,80,15,60,0.81,67
58,36,44,10,47,0.74,51
130,96,155,36,89,1.68,20
70,50,70,16,46,0.79,34
82,55,87,15,49,0.81,58
81,58,83,15,49,0.79,75
66,42,66,11,46,0.67,53
62,34,68,14,34,0.57,74
53,26,56,19,32,0.62,71
65,41,75,29,48,0.8,68
68,45,72,16,44,0.7,83
136,102,108,22,44,1.03,79
102,75,119,25,64,0.98,87
104,70,134,33,88,1.09,46
100,74,120,24,76,1.05,40
71,50,67,9,56,0.99,62
73,53,56,18,39,1.04,44
135,101,118,28,61,1.41,37
131,98,128,20,76,1.45,35
55,37,46,12,66,0.84,26
